"Symbol","Scientific Name with Author","GSAT Common Name"
"ADIAN","Adiantum L.","maidenhair fern"
"ADPE","Adiantum pedatum L.","northern maidenhair fern"
"ADPO","Adenophyllum porophylloides (A. Gray) Strother","San Felipe dogweed"
"ADPO","Adenophyllum porophylloides (A. Gray) Strother","San Felipe dyssodia"
"AECY","Aegilops cylindrica Host","JOINTED GOATGRASS"
"AEGE","Aegilops geniculata Roth","ovate goatgrass"
"AEGIL","Aegilops L.","goatgrass"
"AETE","Aegopogon tenellus (DC.) Trin.","relaxgrass"
"AETR","Aegilops triuncialis L.","barbed goatgrass"
"AGAST","Agastache Clayton ex Gronov.","giant hyssop"
"AGAU2","Agoseris aurantiaca (Hook.) Greene","orange agoseris"
"AGAUA","Agoseris aurantiaca (Hook.) Greene var. aurantiaca","orange agoseris"
"AGAUP","Agoseris aurantiaca (Hook.) Greene var. purpurea (A. Gray) Cronquist","orange agoseris"
"AGAVE","Agave L.","Agave"
"AGCA5","Agrostis capillaris L.","colonial bentgrass"
"AGCR","Agropyron cristatum (L.) Gaertn.","CRESTED WHEATGRASS"
"AGCRP8","Agropyron cristatum (L.) Gaertn. ssp. pectinatum (M. Bieb.) Tzvelev","CRESTED WHEATGRASS"
"AGCU","Agastache cusickii (Greenm.) A. Heller","nettleleaf horsemint"
"AGDE","Agave deserti Engelm.","desert agave"
"AGDE2","Agropyron desertorum (Fisch. ex Link) Schult.","desert wheatgrass"
"AGEL","Agoseris elata (Nutt.) Greene","tall agoseris"
"AGERA2","Ageratina Spach","snakeroot"
"AGEX","Agrostis exarata Trin.","minor spike bentgrass"
"AGEX","Agrostis exarata Trin.","monolepis bentgrass"
"AGEX","Agrostis exarata Trin.","SPIKE BENTGRASS"
"AGFR","Agropyron fragile (Roth) P. Candargy","Siberian wheatgrass"
"AGGI2","Agrostis gigantea Roth","REDTOP"
"AGGL","Agoseris glauca (Pursh) Raf.","pale agoseris"
"AGGLA","Agoseris glauca (Pursh) Raf. var. agrestis (Osterh.) Q. Jones ex Cronquist","pale agoseris"
"AGGLG","Agoseris glauca (Pursh) Raf. var. glauca","pale agoseris"
"AGGLL","Agoseris glauca (Pursh) Raf. var. laciniata (D.C. Eaton) Smiley","false agoseris"
"AGGLM","Agoseris glauca (Pursh) Raf. var. monticola (Greene) Q. Jones ex Cronquist","pale agoseris"
"AGGR","Agoseris grandiflora (Nutt.) Greene","shortbeak agoseris"
"AGHE2","Agoseris heterophylla (Nutt.) Greene","annual agoseris"
"AGHE5","Ageratina herbacea (A. Gray) R.M. King & H. Rob.","herbaceous joepieweed"
"AGHE5","Ageratina herbacea (A. Gray) R.M. King & H. Rob.","desert eupatorium"
"AGHEH","Agoseris heterophylla (Nutt.) Greene var. heterophylla","annual agoseris"
"AGHU","Agrostis humilis Vasey","bentgrassThurber"
"AGHU","Agrostis humilis Vasey","alpine bentgrass"
"AGID","Agrostis idahoensis Nash","Idaho redtop"
"AGID","Agrostis idahoensis Nash","Idaho bentgrass"
"AGOC2","Ageratina occidentalis (Hook.) R.M. King & H. Rob.","western eupatorium"
"AGOR","Agrostis oregonensis Vasey","Oregon redtop"
"AGOSE","Agoseris Raf.","Agoseris"
"AGPA8","Agrostis pallens Trin.","thin bentgrass"
"AGRE","Agoseris retrorsa (Benth.) Greene","spearleaf agoseris"
"AGROP2","Agropyron Gaertn.","wheatgrass"
"AGROS2","Agrostis L.","bentgrass"
"AGSC5","Agrostis scabra Willd.","TICKLEGRASS"
"AGST2","Agrostis stolonifera L.","creeping bentgrass"
"AGST2","Agrostis stolonifera L.","REDTOP"
"AGUR","Agastache urticifolia (Benth.) Kuntze","horsemint giant hyssop"
"AGURU","Agastache urticifolia (Benth.) Kuntze var. urticifolia","nettleleaf giant hyssop"
"AGUT","Agave utahensis Engelm.","Utah agave"
"AGUTE","Agave utahensis Engelm. var. eborispina (Hester) Breitung","Utah agave"
"AGUTK","Agave utahensis Engelm. var. kaibabensis (McKelvey) Breitung","Kaibab agave"
"AGUTN","Agave utahensis Engelm. var. nevadensis Engelm. ex Greenm. & Roush","Nevada agave"
"AGUTU","Agave utahensis Engelm. var. utahensis","Utah agave"
"AGVA","Agrostis variabilis Rydb.","mountain bentgrass"
"AIAL","Ailanthus altissima (Mill.) Swingle","tree-of-heaven"
"ALAC4","Allium acuminatum Hook.","tapertip onion"
"ALAE","Alopecurus aequalis Sobol.","short foxtail"
